Sample.Label,Area,Effort,distance,size,Region.Label,month,Time
PC03,140000,4,14.7,3,Default,nov,day
PC05,140000,4,6.1,1,Default,nov,day
PC05,140000,4,4,1,Default,nov,day
PC05,140000,4,9.9,1,Default,nov,day
PC05,140000,4,8.4,1,Default,nov,day
PC06,140000,4,0,1,Default,nov,day
PC06,140000,4,2.9,2,Default,nov,day
PC06,140000,4,3.2,1,Default,nov,day
PC06,140000,4,2.8,3,Default,nov,day
PC06,140000,4,6.8,2,Default,nov,day
PC06,140000,4,15.3,3,Default,nov,day
PC06,140000,4,34.8,1,Default,nov,day
PC06,140000,4,47.4,1,Default,nov,day
PC08,140000,4,8.3,3,Default,nov,day
PC08,140000,4,15.3,3,Default,nov,day
PC08,140000,4,26,2,Default,nov,day
PC08,140000,4,16.3,4,Default,nov,day
PC08,140000,4,19.4,1,Default,nov,day
PC08,140000,4,24.5,3,Default,nov,day
PC08,140000,4,18.7,1,Default,nov,day
PC08,140000,4,22.3,1,Default,nov,day
PC08,140000,4,16.7,3,Default,nov,day
PC09,140000,4,10.9,1,Default,nov,day
PC09,140000,4,34.2,1,Default,nov,day
PC09,140000,4,27.6,4,Default,nov,day
PC09,140000,4,23.8,4,Default,nov,day
PC09,140000,4,9.4,1,Default,nov,day
PC10,140000,4,2.4,1,Default,nov,day
PC10,140000,4,1.5,1,Default,nov,day
PC10,140000,4,1,1,Default,nov,day
PC10,140000,4,4.9,5,Default,nov,day
PC10,140000,4,5.2,2,Default,nov,day
PC10,140000,4,7,1,Default,nov,day
PC10,140000,4,10.5,4,Default,nov,day
PC10,140000,4,12.3,1,Default,nov,day
PC10,140000,4,4.9,1,Default,nov,day
PC10,140000,4,15,2,Default,nov,day
PC10,140000,4,12.6,1,Default,nov,day
PC10,140000,4,8.5,4,Default,nov,day
PC10,140000,4,9.1,1,Default,nov,day
PC10,140000,4,11.3,1,Default,nov,day
PC10,140000,4,49.4,3,Default,nov,day
PC10,140000,4,19.4,2,Default,nov,day
PC10,140000,4,1,1,Default,nov,day
PC10,140000,4,3.8,1,Default,nov,day
PC10,140000,4,6,1,Default,nov,day
PC10,140000,4,22.4,1,Default,nov,day
PC10,140000,4,11.3,1,Default,nov,day
PC11,140000,4,5.6,3,Default,nov,day
PC11,140000,4,24.1,3,Default,nov,day
PC11,140000,4,15.2,5,Default,nov,day
PC11,140000,4,11.6,7,Default,nov,day
PC11,140000,4,12.8,1,Default,nov,day
PC11,140000,4,24.9,4,Default,nov,day
PC11,140000,4,6.3,7,Default,nov,day
PC11,140000,4,12,1,Default,nov,day
PC11,140000,4,8.6,5,Default,nov,day
PC11,140000,4,13.1,1,Default,nov,day
PC11,140000,4,6.2,1,Default,nov,day
PC13,140000,4,14.2,1,Default,nov,day
PC13,140000,4,18.8,1,Default,nov,day
PC13,140000,4,9.8,1,Default,nov,day
PC13,140000,4,12.4,1,Default,nov,day
PC13,140000,4,15.2,1,Default,nov,day
PC13,140000,4,17,3,Default,nov,day
PC13,140000,4,27.4,2,Default,nov,day
PC13,140000,4,9.8,1,Default,nov,day
PC13,140000,4,23.8,3,Default,nov,day
PC13,140000,4,12.2,1,Default,nov,day
PC14,140000,4,2.5,1,Default,nov,day
PC14,140000,4,1.5,1,Default,nov,day
PC14,140000,4,2.5,1,Default,nov,day
PC14,140000,4,7,3,Default,nov,day
PC14,140000,4,9.1,1,Default,nov,day
PC14,140000,4,16.2,1,Default,nov,day
PC14,140000,4,17.8,1,Default,nov,day
PC14,140000,4,9.4,2,Default,nov,day
PC14,140000,4,10,2,Default,nov,day
PC14,140000,4,11.8,1,Default,nov,day
PC14,140000,4,10.4,2,Default,nov,day
PC14,140000,4,9.8,3,Default,nov,day
PC14,140000,4,13.4,3,Default,nov,day
PC14,140000,4,4,3,Default,nov,day
PC14,140000,4,15.8,1,Default,nov,day
PC15,140000,4,16.2,5,Default,nov,day
PC15,140000,4,19.4,3,Default,nov,day
PC15,140000,4,24.4,1,Default,nov,day
PC15,140000,4,5,1,Default,nov,day
PC15,140000,4,2,1,Default,nov,day
PC15,140000,4,3,1,Default,nov,day
PC15,140000,4,4,2,Default,nov,day
PC15,140000,4,29.2,1,Default,nov,day
PC15,140000,4,29,1,Default,nov,day
PC15,140000,4,19.8,2,Default,nov,day
PC15,140000,4,41,2,Default,nov,day
PC16,140000,4,3.8,1,Default,nov,day
PC16,140000,4,8.6,1,Default,nov,day
PC16,140000,4,8.6,1,Default,nov,day
PC16,140000,4,6.4,1,Default,nov,day
PC16,140000,4,6.4,1,Default,nov,day
PC16,140000,4,12.6,1,Default,nov,day
PC16,140000,4,15,1,Default,nov,day
PC16,140000,4,14.6,1,Default,nov,day
PC16,140000,4,13.2,1,Default,nov,day
PC16,140000,4,9.8,1,Default,nov,day
PC16,140000,4,10.2,1,Default,nov,day
PC16,140000,4,7.8,1,Default,nov,day
PC16,140000,4,8,1,Default,nov,day
PC16,140000,4,11.8,1,Default,nov,day
PC16,140000,4,4.9,2,Default,nov,day
PC16,140000,4,5,1,Default,nov,day
PC16,140000,4,3.6,1,Default,nov,day
PC16,140000,4,5.2,1,Default,nov,day
PC16,140000,4,29.4,2,Default,nov,day
