Sample.Label,Area,Effort,distance,size,Region.Label,month,Time
PC16,140000,4,10.4,2,Default,nov,night
PC16,140000,4,9.5,1,Default,nov,night
PC16,140000,4,4.4,1,Default,nov,night
PC16,140000,4,3.2,1,Default,nov,night
PC16,140000,4,9.4,2,Default,nov,night
PC16,140000,4,10.5,2,Default,nov,night
PC16,140000,4,7.4,1,Default,nov,night
PC16,140000,4,9,1,Default,nov,night
PC16,140000,4,20,10,Default,nov,night
PC16,140000,4,5,1,Default,nov,night
PC16,140000,4,5.2,2,Default,nov,night
PC16,140000,4,22,2,Default,nov,night
PC16,140000,4,33,1,Default,nov,night
