Time Code,Analysis,Identifier 1,Wt of sample,Peak 28  (V),d15N ,Wt  %N,GG Hatch atm %,Trail Id,Code,Sample,Mass,Site,Label,N,W,Zone,W-,LAT,LON
6/13/19 1:13,1793,A11,0.58,833,2.6,1.6,0.3673,A11,MK082,CROTON,0.58,MK8,leaves,18¡ 06.791',67¡ 52.948',Coast,-67¡ 52.948',18.113178,-67.882473
6/13/19 0:30,1789,A7,0.53,1331,7,2.8,0.3689,A7,MK083,CROTON,0.53,MK8,leaves,18¡ 06.692',67¡ 52.975',Coast,-67¡ 52.975',18.111527,-67.882922
6/13/19 0:52,1791,A9,0.63,1086,8,1.9,0.3692,A9,MK084,CROTON,0.63,MK8,leaves,18¡ 06.756',67¡ 53.061',Coast,-67¡ 53.061',18.1126,-67.884343
6/13/19 1:02,1792,A10,0.57,889,9.5,1.7,0.3697,A10,MK085,CROTON,0.57,MK8,leaves,18¡ 06.766',67¡ 53.065',Coast,-67¡ 53.065',18.112764,-67.884413
,,,,,3.1,,,,PQUI2,croton,,P.15,leaves,18¡ 04.459',67¡ 53.736',,-67¡ 53.736',18.074321,-67.895607
6/11/19 10:21,1633,C10,0.56,911,8.2,1.7,0.3693,C10,PuQu1,Croton,0.56,P.15,leaves,18¡ 04.465',67¡ 53.745',Interior,-67¡ 53.745',18.07442,-67.895757
6/11/19 10:29,1634,C11,0.49,832,5.5,1.8,0.3683,C11,PuQu3,Croton,0.49,P.15,leaves,18¡ 04.451',67¡ 53.747',Interior,-67¡ 53.747',18.074182,-67.895778
6/11/19 10:37,1635,C12,0.66,825,4.2,1.3,0.3678,C12,PuQu4,Croton,0.66,P.15,leaves,18¡ 04.344',67¡ 53.737',Interior,-67¡ 53.737',18.072398,-67.895613
,,,,,6,,,,PuQu5,Croton,,P.15,leaves,18¡ 04.567',67¡ 53.753',,-67¡ 53.753',18.07611,-67.89589
,,,,,6.3,,,,PCAP2,croton,,P.CAPITAN,leaves,18¡ 06.570',67¡ 56.072',,-67¡ 56.072',18.10950514,-67.93452993
6/13/19 2:51,1802,B8,0.46,918,12.4,2.2,0.3708,B8,PUCA94,CROTON,0.46,P.CAPITAN,leaves,18¡ 06.675',67¡ 56.028',Coast,-67¡ 56.028',18.11125,-67.9338
6/13/19 2:40,1801,B7,0.54,1883,8.6,4,0.3694,B7,PUCA95,CROTON,0.54,P.CAPITAN,leaves,18¡ 06.677',67¡ 56.038',Coast,-67¡ 56.038',18.111283,-67.933967
,,,,,5,,,,PCEN14,croton,,P.CENTRAL,leaves,18¡ 05.278',67¡ 53.808',,-67¡ 53.808',18.08796097,-67.89679301
6/10/19 16:07,1580,A1,0.55,719,8.2,1.4,0.3693,A1,PuCen1,Croton,0.55,P.CENTRAL,leaves,18¡ 05.376',67¡ 53.812',Interior,-67¡ 53.812',18.089606,-67.896874
6/10/19 16:59,1584,A4,0.54,1212,8.4,2.5,0.3693,A4,PuCen2,Croton,0.54,P.CENTRAL,leaves,18¡ 05.379',67¡ 53.821',Interior,-67¡ 53.821',18.089644,-67.89702
6/10/19 17:24,1587,A7,0.53,1057,9.3,2.2,0.3697,A7,PuCen3,Croton,0.53,P.CENTRAL,leaves,18¡ 05.389',67¡ 53.817',Interior,-67¡ 53.817',18.089823,-67.896954
6/10/19 18:05,1592,A12,0.49,569,4.6,1.2,0.368,A12,PuCen5,Croton,0.49,P.CENTRAL,leaves,18¡ 05.487',67¡ 53.824',Interior,-67¡ 53.824',18.091449,-67.897059
,,,,,7.9,,,,PPAJ1,croton,,PAJAROS,leaves,18¡ 04.049',67¡ 51.951',,-67¡ 51.951',18.06748456,-67.86585222
,,,,,5.2,,,,PPAJ2,croton,,PAJAROS,leaves,18¡ 04.133',67¡ 51.879',,-67¡ 51.879',18.06887646,-67.86464891
,,,,,7,,,,PPAJ3,croton,,PAJAROS,leaves,18¡ 04.151',67¡ 51.991',,-67¡ 51.991',18.06917947,-67.86652084
,,,,,5.6,,,,PPAJ4,croton,,PAJAROS,leaves,18¡ 04.143',67¡ 51.875',,-67¡ 51.875',18.06905324,-67.8645832
,,,,,5.6,,,,PPAJ5,croton,,PAJAROS,leaves,18¡ 04.136',67¡ 51.867',,-67¡ 51.867',18.06892566,-67.86444968
,,,,,4.4,,,,PESC1,croton,,PESCADOR,leaves,18¡ 04.793',67¡ 51.342',,-67¡ 51.342',18.07988131,-67.85569713
,,,,,7.3,,,,PESC2,croton,,PESCADOR,leaves,18¡ 04.788',67¡ 51.330',,-67¡ 51.330',18.07980278,-67.85549244
,,,,,7.1,,,,PESC3,croton,,PESCADOR,leaves,18¡ 04.798',67¡ 51.331',,-67¡ 51.331',18.07997335,-67.85551666
,,,,,8.1,,,,PESC4,croton,,PESCADOR,leaves,18¡ 04.681',67¡ 51.356',,-67¡ 51.356',18.07802313,-67.85593685
,,,,,8.5,,,,PESC5,croton,,PESCADOR,leaves,18¡ 04.751',67¡ 51.444',,-67¡ 51.444',18.07919115,-67.8574015
,,,,,8,,,,VIND1,croton,,V.INDIA,leaves,18¡ 03.312',67¡ 53.193',,-67¡ 53.193',18.05520223,-67.88654697
,,,,,6,,,,VIND2,croton,,V.INDIA,leaves,18¡ 03.323',67¡ 53.189',,-67¡ 53.189',18.05538185,-67.88647908
6/11/19 21:33,1691,A7,0.55,1228,8,2.6,0.3692,A7,Vind03,Croton,0.55,V.INDIA,leaves,18¡ 03.319',67¡ 53.201',Coast,-67¡ 53.201',18.055319,-67.886683
6/11/19 21:42,1692,A8,0.47,637,4.8,1.5,0.368,A8,Vind04,Croton,0.47,V.INDIA,leaves,18¡ 03.348',67¡ 53.298',Coast,-67¡ 53.298',18.055793,-67.888298
6/11/19 21:50,1693,A9,0.56,735,8.3,1.5,0.3693,A9,Vind05,Croton,0.56,V.INDIA,leaves,18¡ 03.410',67¡ 53.193',Coast,-67¡ 53.193',18.056833,-67.88655
